game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit
LV@PHI,away_ml,0.2726074530128113,7.5,1.0445558975960847,0.16070090732247458,4.02,4.02,-4.02
LV@PHI,home_spread,0.8955604375534164,1.8928571428571428,0.6951679710832525,0.7785881276132428,11.68,11.68,10.43
LV@PHI,away_spread,0.10443956244658359,1.925925925925926,-0.7988571389917649,0.0,0.0,0.0,-0.0
LV@PHI,over,0.7817071795556373,1.9803921568627452,0.5480867673552817,0.5590485027023874,2.8,2.8,0.0
LV@PHI,under,0.2182928204443627,1.847457627118644,-0.5967132639248214,0.0,0.0,0.0,0.0
GB@DEN,home_ml,0.6283181130352583,2.02,0.2692025883312218,0.2639241062070802,6.6,6.6,6.73
GB@DEN,away_ml,0.3716818869647417,1.819672131147541,-0.32366082863792905,0.0,0.0,0.0,-0.0
GB@DEN,home_spread,0.4311614603343835,1.8928571428571428,-0.18387295008134552,0.0,0.0,0.0,0.0
GB@DEN,away_spread,0.5688385396656165,1.925925925925926,0.09554089120785403,0.10318416250448234,1.55,1.55,-1.55
GB@DEN,over,0.8610461435742549,1.9523809523809523,0.68109008983545,0.7151445943272225,3.58,3.58,0.0
GB@DEN,under,0.1389538564257451,1.8695652173913042,-0.7402167032040418,0.0,0.0,0.0,0.0
DET@LA,home_ml,0.6682666063686258,1.4081632653061225,-0.05897151348091473,0.0,0.0,0.0,0.0
DET@LA,away_ml,0.3317333936313742,3.0,-0.004799819105877345,0.0,0.0,0.0,-0.0
DET@LA,home_spread,0.6873226171392346,1.8695652173913042,0.28499445812987323,0.32774362684935426,4.92,4.92,4.28
DET@LA,away_spread,0.3126773828607654,1.9523809523809523,-0.38953463346231515,0.0,0.0,0.0,-0.0
DET@LA,over,0.496967780383074,1.8695652173913042,-0.07088632363164438,0.0,0.0,0.0,0.0
DET@LA,under,0.503032219616926,1.9523809523809523,-0.0178894759860016,0.0,0.0,0.0,0.0
CAR@NO,home_ml,0.36163830886648246,2.24,-0.18993018813907914,0.0,0.0,0.0,0.0
CAR@NO,away_ml,0.6383616911335175,1.6756756756756757,0.06968715811562387,0.10313699401112333,2.58,2.58,-2.58
